# SAMPLE DATA FOR FIBER MODEL
# 2021.12.05
########################################################################
# Control Data
#, theta, ecumax, ndiv, nn, ecu, esu
CTLN, 0.0, 0.005, 50, 0.0, 0.003, 0.01
########################################################################
# Material
#, num, parameter
MATE, 1, 60.0
MATE, 2, 390.0
########################################################################
# Concrete Prop.
#, xx1,yy1,xx2,yy2,ndimx,ndimy,fc_id
FIBE, 0.0, 0.0, 650.0, 900.0, 30, 50, 0
FIBE, -500.0, 700.0, 0.0, 900.0, 20, 10, 0
FIBE,  650.0, 700.0, 1100.0, 900.0, 20, 10, 0
########################################################################
# Steel Bar Prop
#, ids,nx,ny,dtx,dty,dia,fy_id
REBA, 0, 4, 2, 100.0, 100.0, D38, 1
REBA, 0, 4, 2, 100.0, 230.0, D38, 1
REBA, 1, 3, 2, 50.0, 50.0, D13, 1
REBA, 2, 3, 2, 50.0, 50.0, D13, 1
