title, csvfile, theta, nn, ecumax, ndiv, ecu, esu, come, cuvmax, mumax, stressmax, strainmax, output, cal
C2_01,  ./input/c2.csv,    0.0, 42000.0, 0.005, 30, 0.003, 0.01, Fc60/20-D41(SD490), 2.0E-5, 10000.0, 500.0, 0.02, ./result/C2_01, N
C2_02,  ./input/c2.csv,    0.0,     0.0, 0.005, 30, 0.003, 0.01, Fc60/20-D41(SD490), 2.0E-5, 10000.0, 500.0, 0.02, ./result/C2_02, N
C2_03,  ./input/c2.csv,    0.0, -4000.0, 0.005, 30, 0.003, 0.01, Fc60/20-D41(SD490), 2.0E-5, 10000.0, 500.0, 0.02, ./result/C2_03, N
C2_04,  ./input/c2.csv,   45.0, 15000.0, 0.005, 30, 0.003, 0.01, Fc60/20-D41(SD490), 2.0E-5, 10000.0, 500.0, 0.02, ./result/C2_04, N
C2_05,  ./input/c2.csv,   45.0,  4800.0, 0.005, 30, 0.003, 0.01, Fc60/20-D41(SD490), 2.0E-5, 10000.0, 500.0, 0.02, ./result/C2_05, N
CW1_01, ./input/cw1.csv, -90.0,     0.0, 0.005, 30, 0.001, 0.01, CW1/**-D41(SD490),  3.0E-6, 500000.0, 500.0, 0.02, ./result/CW1_01, N
CW2_01, ./input/cw2.csv, -45.0,  9832.0, 0.005, 50, 0.003, 0.01, CW2/**-D41(SD490),  3.0E-6, 500000.0, 500.0, 0.02, ./result/CW2_01, N
G1,     ./input/beam.csv,   180.0,     0.0, 0.005, 50, 0.003, 0.01, Fc30/8-D41(SD490),  2.0E-5, 5000.0, 500.0, 0.02, ./result/G1, N
G2,     ./input/beam2.csv,  180.0,     0.0, 0.005, 50, 0.003, 0.01, Fc30/8-D41(SD490),  2.0E-5, 5000.0, 500.0, 0.02, ./result/G2, N
G3,     ./input/beam3.csv,  180.0,     0.0, 0.005, 50, 0.003, 0.01, Fc30/8-D41(SD490),  2.0E-5, -99, -99, -99, ./result/G3, N
G4,     ./input/beam4.csv,  180.0,     0.0, 0.005, 50, 0.003, 0.01, Fc30/8-D41(SD490),  2.0E-5, 5000.0, 500.0, 0.02, ./result/G4, N
